"Unweighted_Sample","Weighted_Sample","Question","Nationality","Gender","Rank (text)","Rank (number)","Percentage"
524,511,"They are good looking","Egyptian","Men","Ranked third",3,0.18
524,511,"They are good looking","Egyptian","Men","Ranked fourth",4,0.13
524,511,"They are good looking","Egyptian","Men","Ranked fifth",5,0.15
524,511,"They are good looking","Egyptian","Men","Ranked sixth",6,0.03
524,511,"They have a personality I like","Egyptian","Men","Ranked first",1,0.36
524,511,"They have a personality I like","Egyptian","Men","Ranked second",2,0.23
524,511,"They have a personality I like","Egyptian","Men","Ranked third",3,0.17
524,511,"They have a personality I like","Egyptian","Men","Ranked fourth",4,0.12
524,511,"They have a personality I like","Egyptian","Men","Ranked fifth",5,0.07
524,511,"They have a personality I like","Egyptian","Men","Ranked sixth",6,0.05
524,511,"They have a sense of humour I like","Egyptian","Men","Ranked first",1,0.06
524,511,"They have a sense of humour I like","Egyptian","Men","Ranked second",2,0.16
524,511,"They have a sense of humour I like","Egyptian","Men","Ranked third",3,0.16
524,511,"They have a sense of humour I like","Egyptian","Men","Ranked fourth",4,0.27
524,511,"They have a sense of humour I like","Egyptian","Men","Ranked fifth",5,0.27
524,511,"They have a sense of humour I like","Egyptian","Men","Ranked sixth",6,0.07
524,511,"They are intelligent","Egyptian","Men","Ranked first",1,0.15
524,511,"They are intelligent","Egyptian","Men","Ranked second",2,0.24
524,511,"They are intelligent","Egyptian","Men","Ranked third",3,0.25
524,511,"They are intelligent","Egyptian","Men","Ranked fourth",4,0.22
524,511,"They are intelligent","Egyptian","Men","Ranked fifth",5,0.11
524,511,"They are intelligent","Egyptian","Men","Ranked sixth",6,0.03
524,511,"They have/make a decent amount of money","Egyptian","Men","Ranked first",1,0.01
524,511,"They have/make a decent amount of money","Egyptian","Men","Ranked second",2,0.03
524,511,"They have/make a decent amount of money","Egyptian","Men","Ranked third",3,0.05
524,511,"They have/make a decent amount of money","Egyptian","Men","Ranked fourth",4,0.05
524,511,"They have/make a decent amount of money","Egyptian","Men","Ranked fifth",5,0.13
524,511,"They have/make a decent amount of money","Egyptian","Men","Ranked sixth",6,0.72
524,511,"They have similar interests to me","Egyptian","Men","Ranked first",1,0.11
524,511,"They have similar interests to me","Egyptian","Men","Ranked second",2,0.14
524,511,"They have similar interests to me","Egyptian","Men","Ranked third",3,0.19
524,511,"They have similar interests to me","Egyptian","Men","Ranked fourth",4,0.21
524,511,"They have similar interests to me","Egyptian","Men","Ranked fifth",5,0.26
524,511,"They have similar interests to me","Egyptian","Men","Ranked sixth",6,0.09
478,491,"They are good looking","Egyptian","Women","Ranked first",1,0.12
