"","name","AreaSqKm","state"
"622","Reinke Slough",0.038,"MN"
"623","Buffalo Lake",0.051,"MN"
"624","Railway Lake",0.127,"MN"
"625","Mud Lake",0.243,"MN"
"626","Davenport Lake",0.009,"MN"
"627","Shurd Lakes",0.183,"MN"
"628","Cole Lake",0.256,"MN"
"629","Ashenbrenner Lake",0.031,"MN"
"630","Virgin Lake",0.232,"MN"
"631","Williams Lake",0.231,"MN"
"632","Altnow Lake",0.231,"MN"
"633","Lake Augusta",0.659,"MN"
"634","Tamarack Lake",0.176,"MN"
"635","Upper Pigeon Lake",0.405,"MN"
"636","Duck Lake",0.607,"MN"
"637","Beatty Lake",0.508,"MN"
"638","Mund Lake",0.103,"MN"
"639","Fuchs Lake",0.084,"MN"
"640","Rice Lake",1.271,"MN"
"641","Hale Lake",0.053,"MN"
"642","Lower Pigeon Lake",1.155,"MN"
"643","Fawn Lake",0.296,"MN"
"644","Little Beaver Lake",0.059,"MN"
"645","Charles Lake",0.124,"MN"
"646","Riley Lake",0.058,"MN"
"647","Severance Lake",0.799,"MN"
"648","Young Lake",0.24,"MN"
"649","Greenwood Lake",0.51,"MN"
"650","Corn Lake",0.323,"MN"
"651","Pierce Pool",0.045,"MN"
"652","Portage Lake",0.613,"MN"
"653","Edwards Lake",0.372,"MN"
"654","Coon Lake",0.068,"MN"
"655","Tiff Lake",0.173,"MN"
"656","Glove Lake",0.068,"MN"
"657","Hoister Lake",0.048,"MN"
"658","Donovan Lake",0.204,"MN"
"659","Rice Lake",0.234,"MN"
"660","Schauer Lake",0.495,"MN"
"661","Milky Lake",0.123,"MN"
"662","Nixon Lake",0.25,"MN"
"663","Miller Lake",0.416,"MN"
"664","Eagle Lake",1.427,"MN"
"665","Nelly Lake",0.366,"MN"
"666","Lunch Lake",0.083,"MN"
"667","Oakleaf Lake",0.461,"MN"
"668","Blackhoof Lake",0.789,"MN"
"669","Minnie Lake",0.285,"MN"
"670","West Wood Lake",0.044,"MN"
"671","Pavelgrit Lake",0.067,"MN"
"672","Fawn Lake",0.523,"MN"
"673","Rice Lake",0.336,"MN"
"674","Andrus Lake",0.213,"MN"
"675","Bailey Lake",0.034,"MN"
"676","Dollar Lake",0.02,"MN"
"677","Silver Lake",0.326,"MN"
"678","Grave Lake",0.684,"MN"
"679","Heron Lake",0.736,"MN"
"680","Rassett Lake",0.13,"MN"
"681","Margaret Lake",0.074,"MN"
"682","Oxbow Lake",0.301,"MN"
"683","Tuttle Lake",0.228,"MN"
"684","Raspberry Lake",0.021,"MN"
"685","Kearney Pond",0.008,"MN"
"686","Crescent Lake",0.229,"MN"
"687","Mud Lake",0.116,"MN"
"688","Upper Menton Lake",0.054,"MN"
"689","Ames Lake",0.046,"MN"
